id,region_name
1,United States
2,United Kingdom
3,Japan
4,France
5,Australia
6,Germany
7,Brazil
8,Canada
9,South Africa
10,India
11,Colombia
12,Mexico
13,Spain
14,Russia
15,China
16,Italy
17,Argentina
18,Chile
19,South Korea
20,Egypt
21,Peru
22,Norway
23,Netherlands
24,Sweden
25,New Zealand
26,Thailand
27,Indonesia
28,Vietnam
29,Turkey
30,Ukraine
31,Poland
32,United Arab Emirates
33,Singapore
34,Austria
35,Czech Republic
36,Greece
37,Ireland
38,Finland
39,Belgium
40,Portugal
41,Hungary
42,Denmark
